time,text
2024-04-13T14:46:09.671+03:00,"Всем добрый день ☀ 🌝⏰
Хороших выходных 🤝

Ожидаемые корпоративные события на предстоящей неделе:

*12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ $NAUK - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

▶️15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

▶️16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

▶️17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

▶️18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

▶️19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

▶️21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
2024-04-13T14:25:31.083+03:00,"{$AQUA} лучше всего демонстрирует, что законы логики не всегда работают на фондовом рынке. Хорошие прогнозы, отличные показатели, но за несколько месяцев ничего согревающего душу. 

{$TRMK} та же история.

Но законы подлости работают бесперебойно. Я вышел из этих компаний, так что с понедельника можете ожидать взлёт ракет 🚀"
2024-04-13T14:12:54.671+03:00,"⚡️Ожидаемые корпоративные события на предстоящей неделе:

🗓15.04.2024 - ПОНЕДЕЛЬНИК
🟢 {$AKRN} - СД по дивидендам за 2023 год

⚡️Ранее не опубликованные события:
🟢 {$AFLT} — СД по дивидендам.
🟢 {$ALRS} — СД по дивидендам.

🗓16.04.2024 - ВТОРНИК
🟢 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🗓17.04.2024 - СРЕДА
🟢 {$LIFE} - ВОСА по вопросу допэмиссии путем открытой подписки
🟢 {$LSRG} - ВОСА по дивидендам за 2023г - 100руб/акция

🗓18.04.2024 - ЧЕТВЕРГ
🟢 {$POSI} - последний день с дивидендом 47,30 руб
🟢 {$MGKL} - СД по дивидендам за 2023 год
🟢 {$TGKN} - СД обсудит дивиденды за 2023 год
🟢 {$TRMK} - СД по дивидендам за 2023 год

🗓19.04.2024 - ПЯТНИЦА
🟢 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)"
2024-04-13T13:25:28.357+03:00,"📆 Ожидаемые корпоративные события на предстоящей неделе:

🔴 12 апреля 2024 не было сообщено о результатах события:
🇷🇺 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.
🇷🇺 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты
▫️ {$NSVZ} - СД НПО «Наука». В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты

📌 15.04.2024 - ПОНЕДЕЛЬНИК
🇷🇺 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

📌 16.04.2024 - ВТОРНИК
🇷🇺 {$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

📌 17.04.2024 - СРЕДА
💊 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
🇷🇺 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

📌 18.04.2024 - ЧЕТВЕРГ
🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

📌 19.04.2024 - ПЯТНИЦА
🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

📌 21.04.2024 - ВОСКРЕСЕНЬЕ
🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г.

❗️В профиле рассказал о доходности 😏"
2024-04-13T11:31:31.068+03:00,"Обновление данных для системного отчета WEEK_28 - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/cfca9298-4793-4ddd-91e3-2db22af5c9ce/

CBOM идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/180873bb-7a60-4032-918f-96dc85a4cc8a/

{$SPBE} закрыта вручную (+3.28%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5981dec9-73f5-4f57-ab4f-0b3f6c427e5f/

{$NKHP} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/eb7c8d5c-98bb-4957-a628-3fb126bb5f6a/

{$PHOR} закрыта вручную (+0.88%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/68bcfcb3-5b96-42bd-a93a-0322234d6dc8/

{$BLNG} закрыта вручную (+4.43%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7690fed-fe8c-407a-b464-5d5daba02031/

{$UNAC} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bfb746e2-88d7-4518-973f-d16284e9f4ac/

{$UWGN} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/da7379e5-c5ed-411b-8ec5-7aa13abc4fdf/

{$TRMK} закрыта вручную (+4.09%), достигла тейка - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/62506982-4403-4303-9af0-f87827206b88/

{$MRKY} закрыта по тейку (+4.54%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/bd2219bf-8502-42ae-8ae1-c3a77c58664d/

{$SGZH} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/343e318c-261d-4030-a83e-c16b8b9b89bd/

IRKT идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/e480699c-0686-4059-96fa-73b972f8e95e/

RENI идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/36f09d5b-dbed-4fcd-8708-6a8773f573c5/

AMEZ идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/5350ba4d-5000-4d72-852d-1c5818d5ffcc/

{$DVEC} закрыта вручную (+3.42%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/811952da-9655-430f-ad65-5ab7080567b0/

{$LIFE} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/8d4b4ba6-5f28-425f-a6e2-5a6e2f15f160/

{$TTLK} идея активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/c4699c2e-9aad-45c6-b9d1-b73f3d30c7bb/

MTSS закрыта по стопу (-1.93%) - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/91f7851c-a2f7-41e0-890d-1f9f3bb4d940/

{$OZON} идея активирована  - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/9dfec008-3753-41b7-b656-dfd362a3beac/

WUSH идея не активирована - https://www.tinkoff.ru/invest/social/profile/Henry_Ross/a7c34cc0-62e3-4c29-b7e7-c09f2f5ab6b2/

Итого: 46.07% суммарного показателя процента успешных публикаций для закрытых идей (не является окончательным из-за открытых идей и позиций). Максимальный положительный % 4.54%, отрицательный % -5.32%
** Суммарный показатель % - кф. для определения winrate, не является показателем % чистой прибыли.

#аналитика #рынок #теханализ_в_пульсе #прояви_себя_в_пульсе #теханализ #хочу_в_дайджест #трейдинг #обзор #пульс #акции"
2024-04-13T11:12:01.395+03:00,"Заходите в профиль подписывайтесь 🥝 🥝 🥝 
На следующей неделе нас ожидают #корпоративные_события :

15.04.2024 - ПОНЕДЕЛЬНИК
 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
{$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
 {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) ."
2024-04-13T10:48:23.969+03:00,"{$TRMK} опа, а че случилось?
П.с все ясно, тинек перестраховался))"
2024-04-13T10:42:14.788+03:00,"📈 Внимание, инвесторы и финансовые энтузиасты! На следующей неделе нас ожидает насыщенная агенда ключевых событий на рынке акций. Вот что вас ждет:

🗓 ПОНЕДЕЛЬНИК, 15.04.2024:
💰 {$AKRN}: Компания Акрон объявит свои рекомендации по дивидендам. Держите руку на пульсе!

🗓 ВТОРНИК, 16.04.2024:
🤐 {$FIVE}: X5 Retail Group представит операционные результаты за первый квартал 2024 года. Обязательно стоит обратить внимание!

🗓 СРЕДА, 17.04.2024:
😄 {$LSRG}: Группа ЛСР анонсирует ВОСА по дивидендам за 2023 год на уровне 100 рублей на акцию.
😏 {$LIFE}: Фармсинтез проведет ВОСА по вопросу допэмиссии акций.
🧩 {$PMSB}: Пермэнергосбыт обсудит распределение прибыли и выплату дивидендов за 2023 год.
☺️ {$EUTR}: «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты, при этом последний день акцепта – 17 апреля.

🗓 ЧЕТВЕРГ, 18.04.2024:
🚂 $POS I: Группа Позитив объявит последний день с дивидендом в размере 47,3 рублей на акцию.
💨 {$TGKN}: ТГК-14 рассмотрит вопрос дивидендов за 2023 год.
🔨 {$TRMK}: ТМК также обсудит вопрос дивидендов за 2023 год.
🫤 {$MGKL}: Мосгорломбард поднимет вопрос дивидендов за 2023 год.

🗓 ПЯТНИЦА, 19.04.2024:
😏 {$GCHE}: Группа Черкизово проведет последний день выплаты дивидендов за 2023 год в размере 205 рублей на акцию.

Эта неделя обещает быть горячей для всех, кто интересуется инвестициями и финансовым рынком. Не упустите возможность обновить свой инвестиционный портфель или сделать стратегические шаги, основываясь на последних новостях и аналитике! 

#инвестиции #финансы #дивиденды #рынокакций #финансоваянеделя"
2024-04-13T10:40:34.382+03:00,"След. Неделя. События.

15.04.2024 - ПОНЕДЕЛЬНИК
💰 {$AKRN} : Акрон, рекомендация по дивидендам

16.04.2024 - ВТОРНИК
🤐 {$FIVE} : X5 Retail, операционные результаты за 1кв 2024 года

17.04.2024 - СРЕДА
😄 {$LSRG} : Группа ЛСР, ВОСА по дивидендам за 2023г (100руб/акция)
😏 {$LIFE} : Фармсинтез, ВОСА по вопросу допэмиссии путем открытой подписки
🧩 {$PMSB} : Пермэнергосбыт, Распределение прибыли, выплата дивидендов за 2023 год
☺️ {$EUTR} : «ЕвроТранс» открыл первое окно акцепта внебиржевой оферты. Последний день акцепта 17 апреля.

18.04.2024 - ЧЕТВЕРГ
🚂 $POS I: Группа Позитив, последний день с дивидендом (47,3 руб/акция)
💨 {$TGKN} : ТГК-14 , вопрос дивидендов за 2023 год  
🔨 {$TRMK} : ТМК, вопрос дивидендов за 2023 год
🫤 {$MGKL} : Мосгорломбард, вопрос дивидендов за 2023 год

19.04.2024 - ПЯТНИЦА
😏 {$GCHE} : Группа Черкизово, последний день выплаты дивидендов за 2023 г (205 ₽/акция) .

Пожалуйста!"
2024-04-13T10:17:41.895+03:00,"💎 КОРПОРАТИВНЫЕ СОБЫТИЯ СЛЕДУЮЩЕЙ НЕДЕЛИ:

*12 апреля 2024 не было сообщено о результатах события:

 {$AFLT} - СД Аэрофлот. В повестке вопрос о подходе к распределению чистой прибыли/убытков за 2023 г.

 {$ALRS} - СД АЛРОСА. В повестке вопрос о рекомендациях ГОСА по распределению прибыли по результатам 2023 г., в т.ч. по размеру дивидендов по акциям и порядку их выплаты. 

 {$NSVZ}  - СД НПО ""Наука"". В повестке вопрос о рекомендации по распределению прибыли, в т.ч. по размеру дивиденда по акциям и порядку его выплаты. 

🟢15.04.2024 - ПОНЕДЕЛЬНИК

 {$AKRN} - СД Акрон. В повестке вопрос о рекомендациях по распределению прибыли по результатам 2023 г. (в т.ч. о выплате (объявлении) дивидендов по результатам 2023 г.)

🟢16.04.2024 - ВТОРНИК

{$FIVE} - X5 Group опубликует операционные результаты за I кв. 2024 г.

🟢17.04.2024 - СРЕДА

 {$LIFE} - ВОСА Фармсинтез. В повестке вопрос об увеличении уставного капитала путем размещения дополнительных акций посредством открытой подписки
 {$LSRG} - ГОСА Группы ЛСР. В повестке вопрос о распределении прибыли по результатам отчетного 2023 года (рекомендация СД в размере 100,00 руб на акцию)

🟢18.04.2024 - ЧЕТВЕРГ

🛡 {$POSI} - последний день с дивидендом 47,30 руб
🥇 {$MGKL} - СД МГКЛ. В повестке вопросы о рекомендациях ГОСА по распределению прибыли и размеру дивидендов по акциям и порядку его выплаты по результатам деятельности за 2023 г.
🔌 {$TGKN} - СД ТГК-14. В повестке вопросы о рекомендациях по распределению прибыли и убытков по итогам 2023 финансового года, по размеру дивидендов по акциям и порядку их выплаты
🇷🇺 {$TRMK} - СД ТМК. В повестке вопрос о выплате дивидендов по итогам 2023 г.

🟢19.04.2024 - ПЯТНИЦА

🛡 {$POSI} - дивгэп (закрытие реестра по дивидендам 47,30 руб в субботу 20.04.2024)

🟢21.04.2024 - ВОСКРЕСЕНЬЕ

🌐 {$TTLK} - ОСА Таттелеком. В повестке вопросы, связанные с созывом и подготовкой к проведению ГОСА 15 мая 2024 г., в т.ч. распределение прибыли и выплата (объявление) дивидендов по результатам 2023 г."
