time,text
2024-04-13T16:11:41.427+03:00,"#норка #норникель #норильский_никель
В ПОСТЕ МОИ МЫСЛИ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Обещанный обзор {$GMKN} и превращение его в ЛЕГЕНДАРНОГО ""ТИНОРОС"", то есть объединение норки + {$TCSG} + #росбанк
Гмк норникель добывает медь, палладий (1 место в мире 40% от мировой), никель (1 место в мире), платина (4 место в мире), золото, серебро, кобальт и другие цветные металлы, гигант на рынке мировом, САНКЦИИ поэтому так долго не вводят
ОТЧЁТ ЗА 2023 год к 2022 году
Добыча осталась на уровнях прошлых лет
Выручка выросла на 4%( в основном от девальвации рубля, акции норки хэдж от девальвации)
Операционная прибыль снизилась на 13% до 474 млрд
Чистая прибыль снизилась в 2 раза до. 210 млрд руб (долги компании в валюте, поэтому переоцены в сторону роста), но прибыль есть, это не убыток
Чистый долг 679 млрд руб
Рентабельность 48%, очень высокая!!!
ПЕРСПЕКТИВЫ: инвестиционная программа предусматривает увеличение добычи всех металлов более 25% к 2030 году, большие капексы в 2023 и 2024 предусматривают отдачу уже в 2025 году и далее
Покупка  ткс ИНТЕРРОСОМ предусматривает за собой ПРОДАЖУ драгоценных металлов через банк физикам и рост показателей, ТКС будут доить на дивы в скором времени для доходов ИНТЕРРОСА ПОТАНИНА, норникель занялся добычей лития и будет делать батареи для элетротранспорта совместно с РОСАТОМ,
литий тоже будет продавать в Китай и другие страны
МИНУСЫ: истёк срок соглашения мажоритарных акционеров ПОТАНИНА 37%  И ДЕРИПАСКИ 26.4%, поэтому дивиденды нестабильны, и врят ли будут в 2024 году, дальнейшее падение цен на металлы, САНКЦИИ не считаю минусом, а даже плюсом для компании
Объединение ТКС и НОРКИ считаю НЕВОЗМОЖНЫМ потому что ПОТАНИН не имеет контрольную долю акций, будет  просто доить на дивы тинек
Мой взляд на норникель позитивные,👍 цены на металлы на дне (платина, палладий) дальше только вверх на росте мировой инфляции🚀 докупаю норку на просадках, как и другие голубые фишки РФ {$NVTK} {$ROSN} {$TATN} {$SIBN} {$LKOH}  , санкции на норникель приведут к х2х3х4 на в цене на металлы, а сбыть такие ценные ресурсы не составляет проблем, тем более сейчас более 50% идёт уже в Азию👍 лайк, подписка, попадание в топ ленты #пульс"
2024-04-13T16:01:05.554+03:00,"​​Дорогие друзья, добрый день.

Короткий пост с привлекательной торговой идеей. Предполагаю, что {$SIBN} пока несколько отстал от рынка и своих друзей нефтянников, так что буду пробовать отработку сценария на пробой сильного уровня 780₽

Всем прекрасных выходных

Thomas Cassidy"
2024-04-13T16:00:14.331+03:00,{$SIBN}
2024-04-13T16:00:13.197+03:00,"💰ТОП-5 дивидендных акций РФ. Кто платит самые большие дивиденды?
 
Продолжаем богатеть на дивидендах. Скоро начинается дивидендный сезон и самое время посмотреть, какие компании выплачивали (а может быть и собираются продолжать) самые большие дивиденды за последние 5 лет.
 
Отрезок времени очень интересен тем, что тут и ковид и начало специальной военной операции, таймфрейм «черных лебедей» одним словом. 
 
Если вдруг кто-то начал инвестировать вчера, то знайте, что доходность прошлых лет не гарантирует такой же доходности в будущем, но у данных компаний, есть все предпосылки, как минимум, остаться на прежнем уровне.
 
Перейдем к компаниям и посмотрим, какие выплаты были за последние 5 лет и их среднегодовая доходность, поехали, гайз!
 
🔵 Дивиденды за 5 лет и их доходность
 
🏦 Сбербанк (тикер: {$SBER}) 
• Дивиденды – 78,4 руб 
• Доходность за 5 лет – 6,19% 
• За 5 лет рост акции составил 28,53% 
В этом случае на ум приходит поговорка: один раз не…, дальше сами знаете. Ну отменили дивиденды, но все же понимают почему. При чем в этом году дивиденды будут двухзначные, а когда Греф говорил, что прибыль сбера в 2024 году будет выше 2023 года, скептики крутили пальцем у виска, ну что ж, дорогие скептики, посмотрите отчет за 1 квартал 2024 и на цифры, которые демонстрирует Сбербанк. Чистая прибыль 364 млрд и это при ставке ЦБ 16%, то ли еще будет.
 
⛽️ Газпром нефть (тикер: {$SIBN}) 
• Дивиденды – 281,79 руб 
• Доходность за 5 лет – 10,32% 
• За 5 лет рост акции составил 127,09% 
Прекрасная компания, прекрасный менеджмент, но последние новости об изменении структуры управления компании вполне могут иметь характер, как негативный. Будем следить за ситуацией, но к дивидендам в ближайшее время это отношения, в плохом смысле, иметь скорее всего не будет. Газпром, давай, живи.
 
⛽️ Лукойл (тикер: {$LKOH}) 
• Дивиденды – 2 974 руб 
• Доходность за 5 лет – 10,52% 
• За 5 лет рост акции составил 38,34% 
Лукойл и дивиденд, при чем растущий от года к году, можно сказать синонимы. Посмотрим, как долго продлится практика постоянно повышающихся дивидендов.
 
⛽️ Татнефть-ап (тикер: {$TATNP}) 
• Дивиденды – 279,81 руб 
• Доходность за 5 лет – 10,76% 
• За 5 лет рост акции составил 21,26% 
Компания, которая, если может, платит и 75 и 100% от чистой прибыли, остается только пожелать им успехов в ведении своего нелегкого нефтяного бизнеса.
 
🌾 ФосАгро (тикер: {$PHOR}) 
• Дивиденды – 3 225 руб 
• Доходность за 5 лет – 12,26% 
• За 5 лет рост акции составил 184,84% 
Единственное, что жалко, так это то, компания, скорее всего не будет бенефициаром высоких цен на газ, так как Европа себя экономически кастрировала, а цикличность бизнеса, в данный момент, не дает цене акции идти вверх. Но стоить заметить, что сегодняшние цены на удобрения, выше максимумов прошлых хаев, а значит при запуске нового цикла, нас может ждать прекрасная дивидендная история.
 
Прекрасный список компаний, с прекрасными дивидендами. Главное, чтобы не произошло так, что дивиденды отменят, а биржу закроют. 
 
Я же продолжу набирать дивидендные акции в свой портфель, все представленные компании находятся у меня в топ-10, где-то плачет одна Роснефть {$ROSN} , которая не попала в данный список, но у нее есть все перспективы залетать в топы по дивидендам. 

💨 dividends, yeach

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #дивиденды"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:36:42.050+03:00,"{$SIBN} 

Намёк понял ✅"
2024-04-13T14:14:37.304+03:00,"❗️❗️Итоги недели и что ждать дальше❗️❗️

📌Предыдущий прогноз: https://www.tinkoff.ru/invest/social/profile/WavesOfTemptation/c61cc587-9e19-44b7-a9c2-10e8d34e244b/
📌Вчера не получилось написать, поэтому пишу сегодня
📌Решил данные посты выпускать в рубрике #итоги_недели_с_прогнозом

❗{$IMOEXF}❗️
🔹Предыдущий прогноз: https://www.tinkoff.ru/invest/social/profile/WavesOfTemptation/dac7877b-dfe0-42f2-b693-a0f12ee57442/
🔹Писал, что будет выход вверх он и случился, когда технари уже ждали коррекцию на 1385 и 1340. И в какой раз ВА дает более точные прогнозы 
🔹Цель 2 достигнута, что я прогнозировал еще в начале марта! 
🔹То, что закрепились над ней по факту ничего не значит. Если рассматривать со стороны ТА (который не работает), то это хорошо
🔹Дальше, в рамках моего текущего прогноза есть 2 варианта: 
     1) Или в скором времени может начаться достаточно продолжительная боковая коррекция (не на год, но недели на 2-3 возможно), которая будет ходить в диапазоне примерно между целями 1 и 2 будет 
     2) Или же дойдем до ближайшей бирюзовой области (минимальная цель пока что 1530), а только потом будет продолжительная боковая коррекция. Если это произойдет, то будет идеально
🔸В целом, пока все идет по основному прогнозу, корректировок пока не требуется, ждем дальнейшего развития событий. Заметьте, что я не втираю Вам какие-то статистические цифры или новости, но почему-то прогнозы пока, что остаются в силе 

❗️Нефтегазовый сектор❗️
📌{$SIBN}, {$ROSN}, {$TATN}
🔹Картинка по всем активам очень красивая
🔹Если кто любит делать взаимосвязи, то на этих активах и индекс Мосбиржи может неплохо стрельнуть. Но в большинстве случаев - это пальцем в небо!
🔸Ожидаю сильного роста в ближайшее время
📌$GAZP
🔹Напротив, есть намек на коррекцию, но, возможно, неглубокую, примерно до 162
🔸Наблюдаем, но хочется уже нормального роста 

❗️{$WUSH}❗️
🔹Есть подозрения, что перехая уже не будет и может неплохо улететь вниз
🔸Ищу возможность выйти с небольшим профитом или в безубыток, закрывать сейчас не хочу, минус совсем небольшой

❗️{$TCSG}❗️
🔸Скукота, пока продолжаем топтаться на месте, цели с прошлого раза не поменялись. Если цена пробьет 3130, то появится возможность на рост. Негативного сценария пока не вижу

❗️{$LENT}❗️
🔹Пойдет ли с текущего уровня вниз, вряд ли
🔹Нарисовался треугольник в 4 волне импульса, поэтому думаю будет перехай
🔹Насколько большой не знаю, возможно, просто обновит хай
🔸В скором времени будет коррекция в каком виде не знаю, но в целом этот актив вообще перестал быть интересен

📌Почему нет других графиков? Не вижу в этом смысла! Тем более, когда нет заинтересованности у аудитории. Собственно, поэтому сократил количество постов до 1-2 в неделю. Просто чтобы отслеживать правильность своих прогнозов
📌Пульсу нужно двигать своих подопечных, за полтора месяца я в этом точно убедился, когда в дайджестах и тд практически одни и те же люди
📌Можете не ставить лайки, не подписываться, мне уже как то все равно на это, даже отписываются, собственно также 

📌Тем, кто ставит лайки, все равно, спасибо! Понимаю, что хотя бы пару человек да читают эту писанину!

Хороших выходных!😊

#imoex
#волновой_анализ
#прояви_себя_в_пульсе
#хочу_в_дайджест
#пульс_оцени
#аналитика
#новичкам
#прогноз"
2024-04-13T12:51:08.467+03:00,"Маленькое обновление к предыдущему посту по {$SIBN} {$RNFT} {$TATN} {$LKOH} — нужно внимательно следить за развитием геополитической ситуации в ближайшие сутки-двое. Если конфликт будет развиваться по экстремальному сценарию, то есть смысл хоть на фулл депо в нефтяников идти. Но это конечно моё мнение и не иир. Вы ж знаете."
2024-04-13T12:47:11.544+03:00,"{$SIBN} смысл этих внебиржевых торгов?🤮 ещё давно подняли вопрос низкой ликвидности здесь, в выходные большинство инвесторов не торгуют. смысл есть только в случае, если после пятничной сессии появилось желание продать свою долю, а торговать нормально на выходных- задача сложная. но, поскольку эту инициативу ввели, теперь нужно и в нерабочее время проверять котировки.  личное мнение"
2024-04-13T12:43:39.786+03:00,"{$SIBN} Подведём итоги.🥳
8.04.Из 5 ти 5ть.
9.04.Из 4 х 4ре.
10.04.Из 6ти 4ре.
11.04 Из 5ти 3и.
12.04.Из 3х 2е.
Прекрасно поработали.🥰😘🥰"
