time,text
2024-04-13T16:28:47.258+03:00,"✅Итоги недели по портфелю 💼

⚠️Доходность за 5 торговых дней составила 39060 рублей.

🟢Лидеры роста:
-Полюс золото + 9,1к {$PLZL}
-Норникель +7,8к {$GMKN}
-Золото +5,6к {$GLDRUB_TOM}
-Лукойл +3.3к {$LKOH}
-Новатэк +3к {$NVTK}

🔴Лидеры падения

-Тинькофф банк -303р {$TCSG}
-Транснефть -207р {$TRNFP}
-Белуга -186р {$BELU}
-Московская биржа -62р {$MOEX}
  

Дивиденды: +2600 ( чистыми)

Купоны : +280р

Больше информации у меня на канале ❤️"
2024-04-13T16:11:41.427+03:00,"#норка #норникель #норильский_никель
В ПОСТЕ МОИ МЫСЛИ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Обещанный обзор {$GMKN} и превращение его в ЛЕГЕНДАРНОГО ""ТИНОРОС"", то есть объединение норки + {$TCSG} + #росбанк
Гмк норникель добывает медь, палладий (1 место в мире 40% от мировой), никель (1 место в мире), платина (4 место в мире), золото, серебро, кобальт и другие цветные металлы, гигант на рынке мировом, САНКЦИИ поэтому так долго не вводят
ОТЧЁТ ЗА 2023 год к 2022 году
Добыча осталась на уровнях прошлых лет
Выручка выросла на 4%( в основном от девальвации рубля, акции норки хэдж от девальвации)
Операционная прибыль снизилась на 13% до 474 млрд
Чистая прибыль снизилась в 2 раза до. 210 млрд руб (долги компании в валюте, поэтому переоцены в сторону роста), но прибыль есть, это не убыток
Чистый долг 679 млрд руб
Рентабельность 48%, очень высокая!!!
ПЕРСПЕКТИВЫ: инвестиционная программа предусматривает увеличение добычи всех металлов более 25% к 2030 году, большие капексы в 2023 и 2024 предусматривают отдачу уже в 2025 году и далее
Покупка  ткс ИНТЕРРОСОМ предусматривает за собой ПРОДАЖУ драгоценных металлов через банк физикам и рост показателей, ТКС будут доить на дивы в скором времени для доходов ИНТЕРРОСА ПОТАНИНА, норникель занялся добычей лития и будет делать батареи для элетротранспорта совместно с РОСАТОМ,
литий тоже будет продавать в Китай и другие страны
МИНУСЫ: истёк срок соглашения мажоритарных акционеров ПОТАНИНА 37%  И ДЕРИПАСКИ 26.4%, поэтому дивиденды нестабильны, и врят ли будут в 2024 году, дальнейшее падение цен на металлы, САНКЦИИ не считаю минусом, а даже плюсом для компании
Объединение ТКС и НОРКИ считаю НЕВОЗМОЖНЫМ потому что ПОТАНИН не имеет контрольную долю акций, будет  просто доить на дивы тинек
Мой взляд на норникель позитивные,👍 цены на металлы на дне (платина, палладий) дальше только вверх на росте мировой инфляции🚀 докупаю норку на просадках, как и другие голубые фишки РФ {$NVTK} {$ROSN} {$TATN} {$SIBN} {$LKOH}  , санкции на норникель приведут к х2х3х4 на в цене на металлы, а сбыть такие ценные ресурсы не составляет проблем, тем более сейчас более 50% идёт уже в Азию👍 лайк, подписка, попадание в топ ленты #пульс"
2024-04-13T16:00:13.197+03:00,"💰ТОП-5 дивидендных акций РФ. Кто платит самые большие дивиденды?
 
Продолжаем богатеть на дивидендах. Скоро начинается дивидендный сезон и самое время посмотреть, какие компании выплачивали (а может быть и собираются продолжать) самые большие дивиденды за последние 5 лет.
 
Отрезок времени очень интересен тем, что тут и ковид и начало специальной военной операции, таймфрейм «черных лебедей» одним словом. 
 
Если вдруг кто-то начал инвестировать вчера, то знайте, что доходность прошлых лет не гарантирует такой же доходности в будущем, но у данных компаний, есть все предпосылки, как минимум, остаться на прежнем уровне.
 
Перейдем к компаниям и посмотрим, какие выплаты были за последние 5 лет и их среднегодовая доходность, поехали, гайз!
 
🔵 Дивиденды за 5 лет и их доходность
 
🏦 Сбербанк (тикер: {$SBER}) 
• Дивиденды – 78,4 руб 
• Доходность за 5 лет – 6,19% 
• За 5 лет рост акции составил 28,53% 
В этом случае на ум приходит поговорка: один раз не…, дальше сами знаете. Ну отменили дивиденды, но все же понимают почему. При чем в этом году дивиденды будут двухзначные, а когда Греф говорил, что прибыль сбера в 2024 году будет выше 2023 года, скептики крутили пальцем у виска, ну что ж, дорогие скептики, посмотрите отчет за 1 квартал 2024 и на цифры, которые демонстрирует Сбербанк. Чистая прибыль 364 млрд и это при ставке ЦБ 16%, то ли еще будет.
 
⛽️ Газпром нефть (тикер: {$SIBN}) 
• Дивиденды – 281,79 руб 
• Доходность за 5 лет – 10,32% 
• За 5 лет рост акции составил 127,09% 
Прекрасная компания, прекрасный менеджмент, но последние новости об изменении структуры управления компании вполне могут иметь характер, как негативный. Будем следить за ситуацией, но к дивидендам в ближайшее время это отношения, в плохом смысле, иметь скорее всего не будет. Газпром, давай, живи.
 
⛽️ Лукойл (тикер: {$LKOH}) 
• Дивиденды – 2 974 руб 
• Доходность за 5 лет – 10,52% 
• За 5 лет рост акции составил 38,34% 
Лукойл и дивиденд, при чем растущий от года к году, можно сказать синонимы. Посмотрим, как долго продлится практика постоянно повышающихся дивидендов.
 
⛽️ Татнефть-ап (тикер: {$TATNP}) 
• Дивиденды – 279,81 руб 
• Доходность за 5 лет – 10,76% 
• За 5 лет рост акции составил 21,26% 
Компания, которая, если может, платит и 75 и 100% от чистой прибыли, остается только пожелать им успехов в ведении своего нелегкого нефтяного бизнеса.
 
🌾 ФосАгро (тикер: {$PHOR}) 
• Дивиденды – 3 225 руб 
• Доходность за 5 лет – 12,26% 
• За 5 лет рост акции составил 184,84% 
Единственное, что жалко, так это то, компания, скорее всего не будет бенефициаром высоких цен на газ, так как Европа себя экономически кастрировала, а цикличность бизнеса, в данный момент, не дает цене акции идти вверх. Но стоить заметить, что сегодняшние цены на удобрения, выше максимумов прошлых хаев, а значит при запуске нового цикла, нас может ждать прекрасная дивидендная история.
 
Прекрасный список компаний, с прекрасными дивидендами. Главное, чтобы не произошло так, что дивиденды отменят, а биржу закроют. 
 
Я же продолжу набирать дивидендные акции в свой портфель, все представленные компании находятся у меня в топ-10, где-то плачет одна Роснефть {$ROSN} , которая не попала в данный список, но у нее есть все перспективы залетать в топы по дивидендам. 

💨 dividends, yeach

🪄 ПРЕМИУМ от Тинькофф БЕСПЛАТНО https://www.tinkoff.ru/baf/5aE4TqnnnH3 👑
                                      +
🪄 БЕСПЛАТНАЯ кредитная карта: 
https://www.tinkoff.ru/baf/46DPL8h7gFk 💳

А ещё вас ждут подарки 🎁 + 🎁 акции крупной компании и многое другое❕

#акции #инвестиции #пульс #новичкам #дивиденды"
2024-04-13T15:53:29.838+03:00,"✨Друзья! Уже совсем скоро состоится долгожданный розыгрыш акции Whoosh! 
🔥Но перед тем как победитель получит подарок, мы сразу запланируем подарок для следующего конкурса. 
💥Итак, на 3000 подписчиков мы можем разыграть: 

▫️Акцию ЛУКОЙЛ {$LKOH} 
▫️Акцию Татнефть {$TATN}
▫️Акцию Роснефть {$ROSN}
▫️Акцию Северсталь {$CHMF}

✨Путём голосования в комментариях мы выявим подарок для будущего конкурса. 

💥ПОНЕСЛАСЬ!"
2024-04-13T14:41:20.212+03:00,"#сбер В ПОСТЕ МОЁ МНЕНИЕ И НЕ ИНДИВИДУАЛЬНАЯ ИНВЕСТИЦИОННАЯ РЕКОМЕНДАЦИЯ
Долгожданный обзор {$SBER} {$SBERP} акция и компания РФ, бизнес в основном в РФ, не депозитарная расписка, 1 место среди банков РФ с большим отрывом от {$TCSG} {$SVCB} {$VTBR} {$BSPB} и других, почти ПОЛОВИНУ банковского сектора занимает СБЕР!!! 
Отчёт 2023 по МСФО к 2022 году:
Выручка 2.9 трлн руб, РОСТ БОЛЕЕ Х2
Чистая прибыль 1.5трлн руб, рекорд
Коэффициент достаточности капиталла 14%
Кредитный портфель вырос на 25%
Ориентировочные дивы 33 рубля на акцию (это не точно, ожидаю выше от 40 руб на акцию при превышение див политики более 50% прибыли, 70% или 80%)
ПЕРСПЕКТИВЫ: рост небанковского сектора в структуре выручки, это экомистема: развитие ИИ, колонки, телевизоры, операционная система, сбермегамаркет и другое, банк государственный поэтому зальют деньгами при форс мажоре и будет брать деньги с гос контрактов и кредитов
МИНУСЫ: при введении цифрового рубля, надобность в банковском секторе может отпасть, будут ходить денежные потоки прямиком через цб и госуслуги.
Рост резервов банков при неблагоприятной обстановке в стране, а значит и денег для оборота оставаться будет меньше
Мой взляд на сбер позитивный👍ожидаю на след год цену акции 400 руб и более, 2 место среди акции в РФ после {$LKOH} и ДИВЫ стабильные и РАСТУЩИЕ 11-12% базовый прогноз, но думаю будут 15-20% при увеличении % от прибыли на дивы (но это не точно)
Считаю однозначно в портфеле должны быть лукойл, сбер на 5% капитала не считая других голубых фишек {$NVTK} {$GAZP} {$SIBN} {$TATN} {$SNGSP} {$ROSN}
Буду брать колл опционы немного в июне под заседание СД, может больше 50% от прибыли дадут дивов🚀лайк, подписка, попадание в топ ленты #пульс🚀"
2024-04-13T14:38:42.174+03:00,"КОНФЕРЕНЦИЯ PROFIT

Очень интересная программа, супер спикеры, хорошая площадка и организация. Спасибо большое за приглашение @Malishok___NZT_GIF_PROFIT

Инвестиционные идеи, которые для себя записала: 
•Лукойл {$LKOH}
•Самолет {$SMLT}
•АФК СИСТЕМА {$AFKS}
•Озон {$OZON}
•IT компании из корпоративного рынка и их новые IPO

Про завершающий буллит напомню про наш классный выпуск по ссылке: https://m.youtube.com/watch?si=h-hklTimUuYLOC3P&v=27edsIoOwkY&feature=youtu.be

#инвестидеи #profitconf"
2024-04-13T14:18:24.982+03:00,"Всем привет 👋
Хомяк потихоньку в деле, иду на перспективу, не спекулянт.
В дальнейшем планирую увеличивать уже имеющиеся по количеству позиции и добавить еще пару новых)
 Советам буду только рада.
Всем побольше капусты 🥬🥬🥬
{$LKOH} , {$CHMF} , {$TATN} , {$MAGN} , {$ASTR} , {$NVTK} , {$AGRO}, {$FLOT}, {$RU000A101QW2}"
2024-04-13T14:00:59.295+03:00,"[&Ваши инвестиции](https://www.tinkoff.ru/invest/strategies/43f8b841-1e6d-4b34-9b9d-679aff55adbb)
Вышли недавно результаты сбера {$SBER}, что по ним видно🔍
📌Они показывают замедление кредитования, и снижение рентабельности  (22%). Из-за роста операционных издержек и расходов на создание резервов.
Рентабельность по РПБУ хоть и снизилась, но остается высокой 🔥. 
💵Совокупный кредитный портфель Сбера по итогам 1К24 увеличился всего на
1% до RUB 39.3 трлн. Отмечается улучшение спроса в корпоративном кредитовании в марте — объем выдач вырос на 20% м/м до RUB 1.8 трлн. В розничном, наоборот наблюдается снижение темпов роста — совокупный объем выдач сократился на 39% к/к до RUB 1.3 трлн, что связано с более слабой динамикой выдач ипотеки📉. 
Чистый процентный доход за 1К24 повысился на 20% г/г до RUB 618.8 млрд, комиссии — на 6% г/г до RUB 165.7 млрд.

Вообщем нормальные результаты, ни хорошие , ни плохие. Во всем банковском секторе, с такой ставкой, будет трудно ждать рекордных прибылей.

Более оптимистично, думаю дела сложатся у нефтяников, с такой стоимостью нефти и курсом рубля🏆 {$LKOH} {$SNGSP}"
2024-04-13T13:56:50.375+03:00,"Всем солнечной субботы 🏝️

В рамках ежемесячных пополнений, закинул на счет 20 к рублей💰
Закупился дивидендными акциями:

{$SBER} 1 лот 
{$PHOR} 1 лот
{$TRNFP} 2 Лота 
{$ALRS} 3 Лота 
{$MAGN} 4 Лота 
{$ROSN} 2 Лота 
{$TATN} 1 лот

Хотел прикупить {$LKOH}, но сейчас он стоит дороговато. Буду набирать позицию после выплат дивидендов 📉

Считаю данные дивидендные компании топы нашего рынка, которые радуют хорошими выплатами. 
Также, сейчас металлурги возвращаются к выплатам. Думаю, ММК тоже может заявить о более высоких выплатах, чем его визави. 

🎯 Цель на 2024 год получить 40 к дивидендами💰

Ваше мнение по данным акциям?"
2024-04-13T13:49:45.421+03:00,"🇷🇺 Главные новости для инвесторов:

✅ Акции Лукойла - фавориты в нефтегазовом секторе (Атон)

✅ Доходность российского рынка акций в 2024 году составит более 30% (УК «Первая»)

✅ X5 Group в 2024 году планирует двузначный рост выручки (Газпромбанк)

✅ В Минфине РФ ожидают принятия закона о регулировании криптовалют в 2024 году

✅ Президент компании «Астра» {$ASTR} подтвердил планы провести SPO

✅ За неделю после сплита акции Норникеля {$GMKN} взлетели на 10%

✅ Цены на золото снова обновили исторические максимумы {$PLZL} {$POLY}

✅ Henderson рекомендовал дивиденды в размере 30 рублей на акцию (доходность: 3,9%)

✅ МТС-банк официально объявил IPO. Но акции будут предложены в рамках допэмиссии {$MTSS}

✅ Whoosh {$WUSH} разработала функцию мгновенного старта аренды без открытия приложения

✅ Доходы России от экспорта нефти в марте упали на 20% (МЭА) {$LKOH}

✅ 15 апреля Акрон решит по дивидендам за 2023 год

✅ Аэрофлот {$AFLT} в марте увеличил перевозки на 21,2%

✅ Газпром {$GAZP} готовится к поставкам газа в Хабаровский край после 2025 года

✅ Результаты Новатэка {$NVTK} за 1 квартал стали значительным позитивным сюрпризом (Мир инвестиций)

✅ «Займер» провел размещение своих акций по нижней границе — 235 рублей

✅ Лента не смогла договориться о ценах с ключевыми партнерами

✅ Акции Ozon {$OZON} в данный момент оценены справедливо (Финам)

✅ Российские угольные компании сократят добычу в 2024 году

✅ Северсталь подала ходатайство о мировом соглашении по ""делу металлургов""

✅ Цена на нефть поднялась выше 92 долларов за баррель {$ROSN} {$TATN}

✅ Позитивные ожидания по акциям МТС на краткосрочную перспективу сохраняется (Атон)

✅ Индекс Мосбиржи по итогам торгов вырос на 0,49%

🌟 Подписывайтесь на канал, если хотите зарабатывать на инвестициях 🌟

❗️Автор этого поста: @Russian_Stocks❗


#акции #россия #пульс #новости #аналитика #трейдинг #инвестиции"
